Level,Date and Time,Source,Event ID,Task Category
Information,15-Sep-20 11:58:56 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\Volume{a2d38700-69f5-4fea-a646-04252ef9eae0}\System Volume Information\SPP\SppCbsHiveStore\{cd42efe1-f6f1-427c-b004-033192c625a4}{FCD9A8B8-2DE1-4D6B-94C0-DDB10AD76954} was cleared updating 559 keys and creating 62 modified pages.
Information,15-Sep-20 11:58:55 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\Volume{a2d38700-69f5-4fea-a646-04252ef9eae0}\System Volume Information\SPP\SppCbsHiveStore\{cd42efe1-f6f1-427c-b004-033192c625a4}{07C5635D-3CA5-40AF-BCDA-EA75984728ED} was cleared updating 75 keys and creating 3 modified pages.
Information,15-Sep-20 11:58:55 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\Volume{a2d38700-69f5-4fea-a646-04252ef9eae0}\System Volume Information\SPP\SppCbsHiveStore\{cd42efe1-f6f1-427c-b004-033192c625a4}{380C2531-1323-4D08-8D2A-C16B32B5AC31} was cleared updating 70 keys and creating 8 modified pages.
Information,15-Sep-20 11:58:55 AM,Microsoft-Windows-Kernel-General,15,(10),Hive \??\Volume{a2d38700-69f5-4fea-a646-04252ef9eae0}\System Volume Information\SPP\SppCbsHiveStore\{cd42efe1-f6f1-427c-b004-033192c625a4}{B0F64E74-46FD-4854-AF9A-E5887B90B67E} was reorganized with a starting size of 15056896 bytes and an ending size of 14856192 bytes.
Information,15-Sep-20 11:58:52 AM,Microsoft-Windows-Kernel-General,11,None,"TxR init phase for hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy2\WINDOWS\System32\config\DRIVERS (TM: {6bf5b15f-f625-11ea-b379-5c879cd94ecc}, RM: {6bf5b15e-f625-11ea-b379-5c879cd94ecc}) finished with result=0xC00000A2 (Internal code=7)."
Information,15-Sep-20 11:58:52 AM,Microsoft-Windows-Kernel-General,11,None,"TxR init phase for hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy2\WINDOWS\System32\config\SYSTEM (TM: {6bf5b15c-f625-11ea-b379-5c879cd94ecc}, RM: {6bf5b15b-f625-11ea-b379-5c879cd94ecc}) finished with result=0xC00000A2 (Internal code=7)."
Information,15-Sep-20 11:58:52 AM,Microsoft-Windows-Kernel-General,15,(10),Hive \??\GLOBALROOT\Device\HarddiskVolumeShadowCopy2\WINDOWS\System32\config\SYSTEM was reorganized with a starting size of 15056896 bytes and an ending size of 14856192 bytes.
Information,15-Sep-20 11:57:51 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\sakov\AppData\Local\Packages\microsoft.windows.contentdeliverymanager_cw5n1h2txyewy\Settings\settings.dat was cleared updating 352 keys and creating 35 modified pages.
Warning,15-Sep-20 11:48:12 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-C1R04V7\sakov SID (S-1-5-21-1674230623-2899171402-1259877898-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,15-Sep-20 11:45:41 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-C1R04V7\sakov SID (S-1-5-21-1674230623-2899171402-1259877898-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,15-Sep-20 11:39:13 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\sakov\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 11 keys and creating 2 modified pages.
Information,15-Sep-20 11:39:12 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\sakov\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\SystemAppData\Helium\UserClasses.dat was cleared updating 1 keys and creating 1 modified pages.
Information,15-Sep-20 11:39:12 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\sakov\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\SystemAppData\Helium\User.dat was cleared updating 6 keys and creating 1 modified pages.
Information,15-Sep-20 11:28:45 AM,Service Control Manager,7040,None,The start type of the NVIDIA LocalSystem Container service was changed from pieprasīt startēšanu to startēt automātiski.
Information,15-Sep-20 11:28:29 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  NVVHCI Enumerator Service
Service File Name:  \SystemRoot\System32\drivers\nvvhci.sys
Service Type:  kodola režīma draiveris
Service Start Type:  pieprasīt startēšanu
Service Account:  "
Information,15-Sep-20 11:28:29 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  NvModuleTracker
Service File Name:  \SystemRoot\System32\drivers\NvModuleTracker.sys
Service Type:  kodola režīma draiveris
Service Start Type:  pieprasīt startēšanu
Service Account:  "
Information,15-Sep-20 11:28:26 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  NVIDIA LocalSystem Container
Service File Name:  ""C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"" -s NvContainerLocalSystem -a -f ""C:\ProgramData\NVIDIA\NvContainerLocalSystem.log"" -l 3 -d ""C:\Program Files\NVIDIA Corporation\NvContainer\plugins\LocalSystem"" -r -p 30000 -st ""C:\Program Files\NVIDIA Corporation\NvContainer\NvContainerTelemetryApi.dll""
Service Type:  lietotāja režīma pakalpojums
Service Start Type:  pieprasīt startēšanu
Service Account:  LocalSystem"
Information,15-Sep-20 11:28:25 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  NVIDIA Virtual Audio Device (Wave Extensible) (WDM)
Service File Name:  \SystemRoot\system32\drivers\nvvad64v.sys
Service Type:  kodola režīma draiveris
Service Start Type:  pieprasīt startēšanu
Service Account:  "
Warning,15-Sep-20 11:26:19 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-C1R04V7\sakov SID (S-1-5-21-1674230623-2899171402-1259877898-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.423_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Information,15-Sep-20 11:26:18 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9PJMTJ0WTCTZ-WuhanNetPowerTechnologyCo.59298FDEA773D
Information,15-Sep-20 11:26:18 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9PJMTJ0WTCTZ-WuhanNetPowerTechnologyCo.59298FDEA773D
Information,15-Sep-20 11:26:17 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\WuhanNetPowerTechnologyCo.59298FDEA773D_1.2.0.0_neutral__63m8b6nby1dvp\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,15-Sep-20 11:26:11 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
